assembly,province,constituency_code,total_male_reg,total_female_reg,total_voter_reg
Provincial,Punjab,PP-147,37634,31422,69056
Provincial,Punjab,PP-149,124683,102291,226974
Provincial,Punjab,PP-150,115074,89125,204199
Provincial,Punjab,PP-151,126402,109008,235410
Provincial,Punjab,PP-153,86712,64956,151668
Provincial,Punjab,PP-155,91229,65502,156731
Provincial,Punjab,PP-157,90797,73992,164789
Provincial,Punjab,PP-16,125162,113275,238437
Provincial,Punjab,PP-160,124486,109940,234426
Provincial,Punjab,PP-161,78669,65750,144419
Provincial,Punjab,PP-166,102596,85755,188351
Provincial,Punjab,PP-167,93809,80370,174179
Provincial,Punjab,PP-171,77987,57273,135260
Provincial,Punjab,PP-172,84032,59620,143652
Provincial,Punjab,PP-174,108900,88117,197017
Provincial,Punjab,PP-175,107400,80878,188278
Provincial,Punjab,PP-176,101667,74620,176287
Provincial,Punjab,PP-177,123082,89728,212810
Provincial,Punjab,PP-178,113280,84513,197793
Provincial,Punjab,PP-179,22744,13995,36739
Provincial,Punjab,PP-18,106785,87982,194767
Provincial,Punjab,PP-180,112273,80868,193141
Provincial,Punjab,PP-181,97673,72953,170626
Provincial,Punjab,PP-182,98827,71531,170358
Provincial,Punjab,PP-183,106941,87924,194865
Provincial,Punjab,PP-184,127609,99592,227201
Provincial,Punjab,PP-185,122165,88980,211145
Provincial,Punjab,PP-186,124853,95950,220803
Provincial,Punjab,PP-187,116107,89908,206015
Provincial,Punjab,PP-189,123468,105212,228680
Provincial,Punjab,PP-19,102627,89755,192382
Provincial,Punjab,PP-190,131295,100929,232224
Provincial,Punjab,PP-191,108991,82528,191519
Provincial,Punjab,PP-192,109005,88375,197380
Provincial,Punjab,PP-193,110313,86088,196401
Provincial,Punjab,PP-194,117851,100638,218489
Provincial,Punjab,PP-195,112917,94242,207159
Provincial,Punjab,PP-196,12747,9671,22418
Provincial,Punjab,PP-198,109889,88920,198809
Provincial,Punjab,PP-199,27048,21513,48561
Provincial,Punjab,PP-2,125061,107775,232836
Provincial,Punjab,PP-200,89901,69328,159229
Provincial,Punjab,PP-201,128934,102017,230951
Provincial,Punjab,PP-202,107181,82261,189442
Provincial,Punjab,PP-203,103359,78562,181921
Provincial,Punjab,PP-204,110706,87106,197812
Provincial,Punjab,PP-205,114147,87138,201285
Provincial,Punjab,PP-206,111720,91624,203344
Provincial,Punjab,PP-207,108486,82874,191360
Provincial,Punjab,PP-208,113046,90530,203576
Provincial,Punjab,PP-209,118705,90899,209604
Provincial,Punjab,PP-21,134908,129537,264445
Provincial,Punjab,PP-210,110520,89257,199777
Provincial,Punjab,PP-215,5406,5173,10579
Provincial,Punjab,PP-217,100948,84401,185349
Provincial,Punjab,PP-218,57413,46603,104016
Provincial,Punjab,PP-22,146453,140113,286566
Provincial,Punjab,PP-221,100931,80625,181556
Provincial,Punjab,PP-222,105663,89404,195067
Provincial,Punjab,PP-223,108943,91407,200350
Provincial,Punjab,PP-224,4920,3978,8898
Provincial,Punjab,PP-228,102659,81504,184163
Provincial,Punjab,PP-229,103772,79853,183625
Provincial,Punjab,PP-23,137592,129615,267207
Provincial,Punjab,PP-230,100693,80749,181442
Provincial,Punjab,PP-232,103521,77419,180940
Provincial,Punjab,PP-233,108830,83188,192018
Provincial,Punjab,PP-234,120933,95246,216179
Provincial,Punjab,PP-236,109572,83130,192702
Provincial,Punjab,PP-237,103316,72059,175375
Provincial,Punjab,PP-238,8303,5823,14126
Provincial,Punjab,PP-239,112091,86639,198730
Provincial,Punjab,PP-24,149456,135860,285316
Provincial,Punjab,PP-240,105791,74896,180687
Provincial,Punjab,PP-241,111390,87087,198477
Provincial,Punjab,PP-242,110263,83210,193473
Provincial,Punjab,PP-243,117639,88535,206174
Provincial,Punjab,PP-244,114342,82821,197163
Provincial,Punjab,PP-245,95128,78702,173830
Provincial,Punjab,PP-246,99911,86867,186778
Provincial,Punjab,PP-248,118394,92204,210598
Provincial,Punjab,PP-249,105355,84332,189687
Provincial,Punjab,PP-25,169816,156184,326000
Provincial,Punjab,PP-250,96120,70909,167029
Provincial,Punjab,PP-251,92647,75519,168166
Provincial,Punjab,PP-252,86693,64077,150770
Provincial,Punjab,PP-254,102997,82356,185353
Provincial,Punjab,PP-255,101207,77839,179046
Provincial,Punjab,PP-256,110397,79102,189499
Provincial,Punjab,PP-257,95368,68581,163949
Provincial,Punjab,PP-258,117727,87354,205081
Provincial,Punjab,PP-259,113881,83279,197160
Provincial,Punjab,PP-26,159635,148187,307822
Provincial,Punjab,PP-260,103276,80520,183796
Provincial,Punjab,PP-261,105564,79557,185121
Provincial,Punjab,PP-263,110182,84090,194272
Provincial,Punjab,PP-264,106569,79452,186021
Provincial,Punjab,PP-265,99975,70365,170340
Provincial,Punjab,PP-266,96259,67293,163552
Provincial,Punjab,PP-267,97725,77803,175528
Provincial,Punjab,PP-269,39787,36313,76100
Provincial,Punjab,PP-27,165450,146236,311686
Provincial,Punjab,PP-270,83383,73068,156451
Provincial,Punjab,PP-272,88202,66515,154717
Provincial,Punjab,PP-273,103505,77934,181439
Provincial,Punjab,PP-274,85831,60603,146434
Provincial,Punjab,PP-275,94810,78296,173106
Provincial,Punjab,PP-278,66663,52600,119263
Provincial,Punjab,PP-28,139881,112360,252241
Provincial,Punjab,PP-280,113355,88332,201687
Provincial,Punjab,PP-281,95863,71659,167522
Provincial,Punjab,PP-282,95959,73565,169524
Provincial,Punjab,PP-283,95503,77389,172892
Provincial,Punjab,PP-284,99529,84421,183950
Provincial,Punjab,PP-286,43957,36695,80652
Provincial,Punjab,PP-287,90433,64419,154852
Provincial,Punjab,PP-292,81821,59293,141114
Provincial,Punjab,PP-293,108045,83340,191385
Provincial,Punjab,PP-294,102905,79419,182324
Provincial,Punjab,PP-295,94253,78522,172775
Provincial,Punjab,PP-296,98276,79599,177875
Provincial,Punjab,PP-297,94144,68207,162351
Provincial,Punjab,PP-3,119078,104020,223098
Provincial,Punjab,PP-30,163731,130026,293757
Provincial,Punjab,PP-32,46135,37663,83798
Provincial,Punjab,PP-33,121710,104562,226272
Provincial,Punjab,PP-34,12079,16098,28177
Provincial,Punjab,PP-37,123099,103768,226867
Provincial,Punjab,PP-38,118191,90268,208459
Provincial,Punjab,PP-39,125915,96171,222086
Provincial,Punjab,PP-4,125793,113874,239667
Provincial,Punjab,PP-40,122702,96593,219295
Provincial,Punjab,PP-41,120225,91056,211281
Provincial,Punjab,PP-44,104628,81530,186158
Provincial,Punjab,PP-45,105216,83562,188778
Provincial,Punjab,PP-46,112577,82146,194723
