"assembly","province","constituency_code","total_male_reg","total_female_reg","total_voter_reg"
"National Assembly","Sindh","NA-197",257269,196409,453678
"National Assembly","Sindh","NA-198",144000,121348,265348
"National Assembly","Sindh","NA-199",154586,129806,284392
"National Assembly","Sindh","NA-200",181916,153052,334968
"National Assembly","Sindh","NA-201",201991,165125,367116
"National Assembly","Sindh","NA-202",179256,145146,324402
"National Assembly","Sindh","NA-203",162030,125924,287954
"National Assembly","Sindh","NA-204",81308,60281,141589
"National Assembly","Sindh","NA-205",188857,144210,333067
"National Assembly","Sindh","NA-206",154323,125505,279828
"National Assembly","Sindh","NA-207",199879,168774,368653
"National Assembly","Sindh","NA-208",123922,102209,226131
"National Assembly","Sindh","NA-210",209694,169590,379284
"National Assembly","Sindh","NA-211",213390,173914,387304
"National Assembly","Sindh","NA-212",205002,164529,369531
"National Assembly","Sindh","NA-213",1938,803,2741
"National Assembly","Sindh","NA-214",166876,140255,307131
"National Assembly","Sindh","NA-215",76586,62599,139185
"National Assembly","Sindh","NA-216",56960,46519,103479
"National Assembly","Sindh","NA-217",91012,76417,167429
"National Assembly","Sindh","NA-218",193359,157245,350604
"National Assembly","Sindh","NA-219",1902,0,1902
"National Assembly","Sindh","NA-220",247873,210932,458805
"National Assembly","Sindh","NA-221",134378,105878,240256
"National Assembly","Sindh","NA-222",4959,3532,8491
"National Assembly","Sindh","NA-223",182894,160012,342906
"National Assembly","Sindh","NA-224",165152,146878,312030
"National Assembly","Sindh","NA-225",133046,111695,244741
"National Assembly","Sindh","NA-227",31615,22506,54121
"National Assembly","Sindh","NA-228",149242,123522,272764
"National Assembly","Sindh","NA-229",160641,133833,294474
"National Assembly","Sindh","NA-231",166622,141423,308045
"National Assembly","Sindh","NA-232",214642,174391,389033
"National Assembly","Sindh","NA-233",235433,191036,426469
"National Assembly","Sindh","NA-236",132116,96144,228260
"National Assembly","Sindh","NA-239",58463,51777,110240
"National Assembly","Sindh","NA-241",16412,10174,26586
"National Assembly","Sindh","NA-242",110111,73262,183373
"National Assembly","Sindh","NA-246",304714,229897,534611
"National Assembly","Sindh","NA-247",294713,249251,543964
